t,Z_real,Z_imag
1.686686686686686798e+01,8.789691622675755989e-01,-4.768786132577517156e-01
1.691691691691691801e+01,8.904992299171526904e-01,-4.549847486641262484e-01
1.696696696696696804e+01,9.015161110501340724e-01,-4.327455389914981465e-01
1.701701701701701808e+01,9.120079899128542555e-01,-4.101724348796674247e-01
1.706706706706706811e+01,9.219632817636561617e-01,-3.872772999797291504e-01
1.711711711711711814e+01,9.313706469203405502e-01,-3.640724077092170052e-01
1.716716716716716817e+01,9.402190048428841207e-01,-3.405704375489109204e-01
1.721721721721721821e+01,9.484975482373589895e-01,-3.167844708752605709e-01
1.726726726726726824e+01,9.561957571665312683e-01,-2.927279863230093371e-01
1.731731731731731827e+01,9.633034131523328103e-01,-2.684148546728850615e-01
1.736736736736736830e+01,9.698106132550590175e-01,-2.438593332596609708e-01
1.741741741741741833e+01,9.757077841137971053e-01,-2.190760598964295036e-01
1.746746746746746837e+01,9.809856959323240977e-01,-1.940800463112418162e-01
1.751751751751751840e+01,9.856354763943706576e-01,-1.688866710929018411e-01
1.756756756756756843e+01,9.896486244918967223e-01,-1.435116721430590159e-01
1.761761761761761846e+01,9.930170242497232680e-01,-1.179711386323981787e-01
1.766766766766766850e+01,9.957329583296419262e-01,-9.228150245904913340e-02
1.771771771771771853e+01,9.977891214968406253e-01,-6.645952920810489772e-02
1.776776776776776856e+01,9.991786339312865861e-01,-4.052230861152798097e-02
1.781781781781781859e+01,9.998950543664847368e-01,-1.448724450834583573e-02
1.786786786786786863e+01,9.999323930378335445e-01,1.162795569442664524e-02
1.791791791791791866e+01,9.992851244226249596e-01,3.780529205890183209e-02
1.796796796796796869e+01,9.979481997535800675e-01,6.402648365003843489e-02
1.801801801801801872e+01,9.959170592876678274e-01,9.027298056342153432e-02
1.806806806806806875e+01,9.931876443118293762e-01,1.165259764443923179e-01
1.811811811811811879e+01,9.897564088671455540e-01,1.427664214947327592e-01
1.816816816816816882e+01,9.856203311728910510e-01,1.689750359628322818e-01
1.821821821821821885e+01,9.807769247318590677e-01,1.951323241124272301e-01
1.826826826826826888e+01,9.752242490983240586e-01,2.212185886642667743e-01
1.831831831831831892e+01,9.689609202899802654e-01,2.472139457045142152e-01
1.836836836836836895e+01,9.619861208251970774e-01,2.730983400529730099e-01
1.841841841841841898e+01,9.542996093669975366e-01,2.988515610834181491e-01
1.846846846846846901e+01,9.459017299551862878e-01,3.244532589877714979e-01
1.851851851851851904e+01,9.367934208081681868e-01,3.498829614750199046e-01
1.856856856856856908e+01,9.269762226760863699e-01,3.751200908951354829e-01
1.861861861861861911e+01,9.164522867270576967e-01,4.001439817774931629e-01
